Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24
United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Python,,SQL,,,,Javascript,,,,,,Other,Python,,,,,,,,,,,,,
Other,Bachelor’s degree,Student,< 1 years,,,SQL,C,,,Javascript,,,,,,,Python,,,,,,,,,,,,,
India,Master’s degree,Student,< 1 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Currently not employed,< 1 years,Python,R,SQL,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
Germany,Doctoral degree,Research Scientist,5-10 years,Python,R,,,,,,,,,MATLAB,,,Bash,Linear or Logistic Regression,,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"15,000-19,999"
"Iran, Islamic Republic of...",Doctoral degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,,,,,,,,,,C++,,,,,,,,,,,,,
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
Other,Master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Bachelor’s degree,Data Analyst,5-10 years,,R,SQL,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"90,000-99,999"
Japan,Master’s degree,Data Scientist,1-2 years,Python,,,,,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"5,000-7,499"
China,Master’s degree,Software Engineer,3-5 years,,,,,,Java,,,,,,,,MATLAB,,,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"5,000-7,499"
Indonesia,Some college/university study without earning a bachelor’s degree,DBA/Database Engineer,1-2 years,Python,,SQL,,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,$0-999
India,Master’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,
India,Bachelor’s degree,Business Analyst,1-2 years,Python,,SQL,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"15,000-19,999"
Mexico,Master’s degree,Data Analyst,20+ years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"15,000-19,999"
India,Bachelor’s degree,Student,3-5 years,Python,,,C,,Java,,,,,MATLAB,,,Python,,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Other,Bachelor’s degree,Software Engineer,10-20 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"15,000-19,999"
Japan,No formal education past high school,Product/Project Manager,1-2 years,,,,,C++,Java,,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,Java,,,,,,,,Python,,,,,,,,,,,,,
Brazil,Doctoral degree,Research Scientist,20+ years,Python,R,SQL,,,Java,,Julia,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"1,000-1,999"
India,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python,,,,C++,Java,,,,,,,,Python,,,,,,,,,,,,,
Spain,Master’s degree,Data Scientist,1-2 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Sweden,Bachelor’s degree,Business Analyst,20+ years,,,,,,,,,,,,None,,Other,,,,,,,,,,,None,,"40,000-49,999"
India,Master’s degree,Student,5-10 years,Python,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,
Japan,Doctoral degree,Software Engineer,1-2 years,Python,,,C,C++,,,,,,,,,C,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"70,000-79,999"
United States of America,Master’s degree,Data Scientist,20+ years,Python,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"200,000-249,999"
Other,Master’s degree,Machine Learning Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Master’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Belarus,Bachelor’s degree,Other,1-2 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"5,000-7,499"
Other,Bachelor’s degree,Data Engineer,1-2 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Japan,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"2,000-2,999"
Mexico,Master’s degree,Product/Project Manager,20+ years,,,,,,,,,,,,,Other,Python,,Decision Trees or Random Forests,,,,,,,,,,,"250,000-299,999"
Nigeria,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Master’s degree,Business Analyst,1-2 years,,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,"30,000-39,999"
United States of America,Bachelor’s degree,Software Engineer,5-10 years,Python,,SQL,,,Java,,,,,,,,Python,,,,,,,,,,,,Other,"150,000-199,999"
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Product/Project Manager,1-2 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
India,Bachelor’s degree,Student,< 1 years,,,,C,,Java,,,,,,,,Python,,,,,,,,,,,,,
China,Master’s degree,Research Scientist,10-20 years,Python,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,
South Korea,Doctoral degree,Research Scientist,5-10 years,Python,,,C,,,,,,,MATLAB,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"40,000-49,999"
India,I prefer not to answer,Currently not employed,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
India,Bachelor’s degree,Business Analyst,< 1 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,
United States of America,Master’s degree,Business Analyst,< 1 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,"50,000-59,999"
Italy,Bachelor’s degree,Student,1-2 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,None,,
Brazil,Bachelor’s degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"3,000-3,999"
Germany,Master’s degree,Machine Learning Engineer,20+ years,Python,,SQL,,C++,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"100,000-124,999"
India,Bachelor’s degree,Student,< 1 years,Python,,,C,C++,Java,Javascript,,,,,,,Java,,,,,,,,,,,None,,
India,Bachelor’s degree,Student,3-5 years,Python,,,C,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)",,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,Some college/university study without earning a bachelor’s degree,Other,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,10-20 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"50,000-59,999"
Brazil,Master’s degree,Software Engineer,3-5 years,Python,R,SQL,,,Java,Javascript,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"20,000-24,999"
United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,"15,000-19,999"
Brazil,Bachelor’s degree,Student,3-5 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
Russia,Master’s degree,Data Scientist,20+ years,Python,R,,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"5,000-7,499"
Japan,Bachelor’s degree,Research Scientist,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,"30,000-39,999"
South Korea,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,,,,,,,,,C++,Linear or Logistic Regression,,,,,,,,,,,,
United States of America,Master’s degree,Data Engineer,5-10 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
Other,Master’s degree,Data Analyst,1-2 years,Python,,,C,,,,,,,,,,R,,,,,,,,,,,None,,"1,000-1,999"
United States of America,Bachelor’s degree,Software Engineer,10-20 years,Python,,SQL,,,,Javascript,,,,,,Other,Python,Linear or Logistic Regression,,,,,,,,,,,,"90,000-99,999"
Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,10-20 years,Python,,,,C++,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,$0-999
Switzerland,Doctoral degree,Other,< 1 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,None,,"150,000-199,999"
Brazil,Master’s degree,Data Analyst,10-20 years,Python,R,SQL,,,,Javascript,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"15,000-19,999"
Australia,Bachelor’s degree,Software Engineer,5-10 years,Python,,SQL,,,,Javascript,,,Bash,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,Evolutionary Approaches,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"70,000-79,999"
Other,Master’s degree,Data Engineer,1-2 years,Python,,SQL,,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,$0-999
Nigeria,Bachelor’s degree,Data Scientist,5-10 years,Python,R,SQL,,C++,,,,,,,,,Swift,,,,,,,,,,,,,$0-999
Japan,Master’s degree,Other,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"60,000-69,999"
Ukraine,Professional degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,
India,Bachelor’s degree,Currently not employed,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,Java,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
India,Master’s degree,Student,1-2 years,Python,,SQL,,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
China,Master’s degree,Machine Learning Engineer,5-10 years,Python,,,,C++,,,,Swift,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,"30,000-39,999"
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,Doctoral degree,Research Scientist,10-20 years,Python,R,,C,,,Javascript,,,,MATLAB,,,Python,,,,,Evolutionary Approaches,,,,,,,,"3,000-3,999"
Turkey,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,C++,Java,,,,,,,,R,,,,,,,,,,,None,,
Japan,Master’s degree,Software Engineer,10-20 years,Python,,,,,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"60,000-69,999"
India,Bachelor’s degree,Other,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"1,000-1,999"
Spain,Doctoral degree,Machine Learning Engineer,20+ years,,,,,C++,,,,,,,,,C++,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"50,000-59,999"
Other,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,,,,,C++,,Javascript,,,,,,,Javascript,,,,,,,,,,,,Other,$0-999
Canada,Master’s degree,Machine Learning Engineer,5-10 years,,,,,,,,Julia,,,,,,Julia,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"125,000-149,999"
Australia,Bachelor’s degree,Student,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
United States of America,Master’s degree,Data Engineer,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,"150,000-199,999"
Spain,Doctoral degree,Data Scientist,1-2 years,Python,R,SQL,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"60,000-69,999"
India,Master’s degree,Statistician,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
Poland,Master’s degree,Business Analyst,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,"10,000-14,999"
India,Doctoral degree,Student,1-2 years,Python,,,,,,,,,,MATLAB,,,,,,,,,,,,,,,,
Brazil,Master’s degree,Business Analyst,1-2 years,Python,R,SQL,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,,,Other,"20,000-24,999"
Japan,Master’s degree,Software Engineer,10-20 years,Python,,,,,,Javascript,,,Bash,,,Other,Python,,,,,,,,,,,,,
Turkey,Bachelor’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,,,,,,,,,,C,,,,,,,,,,,,,
Belarus,Doctoral degree,Student,10-20 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Spain,Doctoral degree,Data Analyst,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"20,000-24,999"
India,Master’s degree,Statistician,< 1 years,,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"3,000-3,999"
Brazil,Master’s degree,Machine Learning Engineer,3-5 years,Python,,SQL,,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,"70,000-79,999"
India,Bachelor’s degree,Product/Project Manager,5-10 years,,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,
India,Doctoral degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
Chile,Master’s degree,Other,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"20,000-24,999"
Romania,Bachelor’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
China,Some college/university study without earning a bachelor’s degree,Student,1-2 years,,,,,C++,Java,,,,,MATLAB,,,MATLAB,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,,,,Recurrent Neural Networks,,,,
India,Master’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
Portugal,Master’s degree,Other,< 1 years,Python,,SQL,C,,,,,,,,,,Python,,,,,,,,,,,,,"20,000-24,999"
Italy,Professional degree,Research Scientist,20+ years,,,,C,C++,Java,,,,,MATLAB,,,C,,,,,,,,,,,,,
India,Master’s degree,Data Scientist,< 1 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
Italy,Doctoral degree,Other,20+ years,Python,,,,,,,,,Bash,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"80,000-89,999"
South Africa,Master’s degree,Product/Project Manager,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"150,000-199,999"
India,Master’s degree,Software Engineer,3-5 years,Python,,,,,Java,Javascript,,,,,,,Python,,Decision Trees or Random Forests,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,"4,000-4,999"
United States of America,Bachelor’s degree,Data Scientist,3-5 years,Python,R,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"40,000-49,999"
