Q3,Q4,Q5,Q6,Q8
Sweden,Master’s degree,Business Analyst,1-2 years,Python
Other,Doctoral degree,Student,3-5 years,R
United States of America,Doctoral degree,Data Scientist,5-10 years,Python
Other,Master’s degree,Statistician,< 1 years,Python
India,Bachelor’s degree,Data Analyst,< 1 years,Python
Other,Master’s degree,Machine Learning Engineer,< 1 years,Python
Japan,Master’s degree,Product/Project Manager,20+ years,Python
Russia,Master’s degree,Data Scientist,< 1 years,Python
"Iran, Islamic Republic of...",Bachelor’s degree,Data Analyst,1-2 years,MATLAB
Philippines,Bachelor’s degree,Currently not employed,5-10 years,R
France,Doctoral degree,Research Scientist,3-5 years,Python
India,Doctoral degree,Data Scientist,5-10 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
India,Master’s degree,Data Scientist,10-20 years,SQL
South Korea,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
India,,,,
India,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Viet Nam,Master’s degree,Machine Learning Engineer,5-10 years,SQL
Brazil,Bachelor’s degree,Statistician,< 1 years,C
Australia,Master’s degree,Data Scientist,20+ years,Python
South Korea,Bachelor’s degree,Software Engineer,10-20 years,Python
Other,Master’s degree,Currently not employed,1-2 years,Python
Other,Master’s degree,Product/Project Manager,20+ years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Turkey,Bachelor’s degree,Other,3-5 years,Python
Colombia,Master’s degree,Data Engineer,20+ years,R
India,Bachelor’s degree,Student,1-2 years,Python
Russia,Master’s degree,Data Analyst,,
Chile,Bachelor’s degree,Statistician,3-5 years,Python
Mexico,Bachelor’s degree,Student,< 1 years,Python
Portugal,Bachelor’s degree,Other,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Research Scientist,< 1 years,R
Brazil,Bachelor’s degree,Business Analyst,< 1 years,Python
Brazil,Bachelor’s degree,Student,3-5 years,C
Switzerland,Master’s degree,Student,3-5 years,Python
Other,Master’s degree,Statistician,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,< 1 years,Python
Netherlands,Doctoral degree,Data Engineer,10-20 years,Python
India,Professional degree,Business Analyst,< 1 years,Python
Turkey,Bachelor’s degree,Software Engineer,5-10 years,Python
Indonesia,Master’s degree,Research Scientist,3-5 years,Python
India,Doctoral degree,Student,5-10 years,Python
Other,Master’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Software Engineer,5-10 years,Python
India,No formal education past high school,Student,< 1 years,Python
Sri Lanka,Bachelor’s degree,Student,1-2 years,Python
China,Master’s degree,Other,1-2 years,Python
China,Master’s degree,Student,1-2 years,Java
Nigeria,Master’s degree,Data Engineer,3-5 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
South Korea,Bachelor’s degree,Student,1-2 years,Python
Italy,Master’s degree,Statistician,10-20 years,Python
Japan,Master’s degree,Data Scientist,< 1 years,Python
Malaysia,I prefer not to answer,Currently not employed,< 1 years,None
Republic of Korea,Doctoral degree,Student,10-20 years,C
Egypt,Bachelor’s degree,Machine Learning Engineer,3-5 years,
Romania,Bachelor’s degree,Software Engineer,10-20 years,Python
Viet Nam,Master’s degree,Research Scientist,1-2 years,C++
Turkey,Master’s degree,Other,< 1 years,Python
South Korea,Master’s degree,Machine Learning Engineer,5-10 years,Python
India,I prefer not to answer,Data Scientist,< 1 years,Python
Ukraine,Bachelor’s degree,Student,3-5 years,Python
India,Master’s degree,Data Analyst,1-2 years,R
Kenya,Bachelor’s degree,Student,1-2 years,R
India,Master’s degree,Student,< 1 years,Python
Brazil,Bachelor’s degree,Student,3-5 years,Python
Other,Master’s degree,Student,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years,Python
Canada,Some college/university study without earning a bachelor’s degree,Student,20+ years,R
Thailand,Bachelor’s degree,Data Scientist,1-2 years,Python
Singapore,Master’s degree,Other,1-2 years,Python
India,Bachelor’s degree,Business Analyst,3-5 years,Python
India,Bachelor’s degree,,,
Republic of Korea,Bachelor’s degree,Student,< 1 years,Python
Canada,Bachelor’s degree,Student,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,5-10 years,Python
India,I prefer not to answer,Student,1-2 years,Python
South Korea,Bachelor’s degree,Software Engineer,3-5 years,Python
India,Master’s degree,Student,1-2 years,Python
Russia,Bachelor’s degree,Data Scientist,3-5 years,Python
Chile,Master’s degree,Data Scientist,3-5 years,Python
France,Master’s degree,Data Scientist,3-5 years,Python
Other,Master’s degree,Data Scientist,3-5 years,Julia
India,Master’s degree,Research Scientist,3-5 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,R
Brazil,Doctoral degree,Research Scientist,20+ years,Julia
China,Doctoral degree,Research Scientist,3-5 years,Python
Japan,Master’s degree,Other,1-2 years,Python
India,,,,
India,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,,,,
Other,Master’s degree,Machine Learning Engineer,3-5 years,Python
India,Master’s degree,Student,< 1 years,Other
United States of America,Bachelor’s degree,Software Engineer,20+ years,MATLAB
India,Master’s degree,Currently not employed,1-2 years,Python
Other,Doctoral degree,Research Scientist,5-10 years,Python
Kenya,Bachelor’s degree,Data Scientist,3-5 years,
Other,Master’s degree,Student,< 1 years,Python
Other,Master’s degree,Software Engineer,5-10 years,MATLAB
India,Master’s degree,Software Engineer,3-5 years,Python
Other,Master’s degree,Data Scientist,20+ years,R
"Iran, Islamic Republic of...",Doctoral degree,Machine Learning Engineer,1-2 years,R
Germany,Master’s degree,Machine Learning Engineer,5-10 years,Python
United States of America,Bachelor’s degree,Software Engineer,3-5 years,Python
China,Master’s degree,Student,5-10 years,C
Viet Nam,Bachelor’s degree,Student,< 1 years,Python
Thailand,Master’s degree,Data Scientist,10-20 years,SQL
Indonesia,Master’s degree,Student,3-5 years,C++
Kenya,Some college/university study without earning a bachelor’s degree,Other,< 1 years,Python
India,Bachelor’s degree,Student,< 1 years,R
Singapore,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Data Scientist,< 1 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Software Engineer,1-2 years,R
France,Doctoral degree,Research Scientist,3-5 years,R
Colombia,Bachelor’s degree,Software Engineer,1-2 years,Python
United States of America,Master’s degree,Research Scientist,5-10 years,Python
United Kingdom of Great Britain and Northern Ireland,Professional degree,Other,20+ years,MATLAB
Italy,Master’s degree,Data Analyst,3-5 years,R
Spain,Master’s degree,Student,1-2 years,Python
Canada,Bachelor’s degree,Other,1-2 years,SQL
United States of America,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
India,Master’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Japan,Master’s degree,Software Engineer,10-20 years,Python
China,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Currently not employed,5-10 years,Python
France,Doctoral degree,Student,3-5 years,Python
Germany,Master’s degree,Research Scientist,5-10 years,Python
India,Bachelor’s degree,Data Scientist,5-10 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,1-2 years,Python
Indonesia,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Other,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
India,Bachelor’s degree,Research Scientist,10-20 years,C++
United States of America,Bachelor’s degree,Student,1-2 years,C++
Canada,Master’s degree,Currently not employed,5-10 years,SQL
United States of America,Master’s degree,Software Engineer,20+ years,Python
China,Master’s degree,Machine Learning Engineer,3-5 years,Python
Russia,Master’s degree,Data Analyst,< 1 years,Python
India,Master’s degree,Student,1-2 years,Python
Nigeria,Bachelor’s degree,Student,< 1 years,SQL
Other,Master’s degree,Student,3-5 years,Python
Indonesia,Professional degree,,,
Mexico,Bachelor’s degree,Product/Project Manager,1-2 years,Java
Indonesia,No formal education past high school,Student,3-5 years,Python
France,Master’s degree,Currently not employed,1-2 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,3-5 years,Python
India,Master’s degree,Research Scientist,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Professional degree,Data Analyst,3-5 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
Portugal,Master’s degree,Statistician,1-2 years,Python
Italy,Doctoral degree,Product/Project Manager,20+ years,Python
Russia,Master’s degree,Other,3-5 years,Python
Other,Master’s degree,Data Analyst,3-5 years,R
Taiwan,Master’s degree,Data Scientist,5-10 years,Python
Mexico,Master’s degree,Data Analyst,< 1 years,Python
United States of America,Bachelor’s degree,Software Engineer,10-20 years,Python
United States of America,Master’s degree,Currently not employed,1-2 years,Python
Spain,Master’s degree,Data Scientist,10-20 years,Python
Germany,I prefer not to answer,,,
India,Master’s degree,Software Engineer,3-5 years,Python
Italy,Master’s degree,Research Scientist,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,5-10 years,Python
Ukraine,I prefer not to answer,Software Engineer,5-10 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Master’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Product/Project Manager,10-20 years,Python
India,Bachelor’s degree,Data Analyst,< 1 years,SQL
South Africa,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,Python
Canada,Bachelor’s degree,Software Engineer,10-20 years,MATLAB
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Mexico,Doctoral degree,Machine Learning Engineer,20+ years,Python
Other,Bachelor’s degree,Currently not employed,1-2 years,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Python
Spain,Master’s degree,Other,3-5 years,Python
Australia,Master’s degree,Student,< 1 years,R
United States of America,Doctoral degree,Research Scientist,1-2 years,Python
Germany,Master’s degree,Student,5-10 years,C++
China,Master’s degree,Student,< 1 years,Python
India,Master’s degree,Currently not employed,20+ years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Pakistan,Bachelor’s degree,Business Analyst,< 1 years,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Python
United States of America,Bachelor’s degree,Other,3-5 years,Python
China,Master’s degree,Student,3-5 years,Python
United States of America,Master’s degree,Data Analyst,5-10 years,Python
Russia,Some college/university study without earning a bachelor’s degree,Other,10-20 years,Python
United States of America,Doctoral degree,Data Engineer,5-10 years,SQL
Italy,Bachelor’s degree,Other,3-5 years,Python
China,Master’s degree,Student,3-5 years,Java
Italy,Master’s degree,Student,5-10 years,Python
Philippines,Master’s degree,Other,5-10 years,Python
Italy,Bachelor’s degree,Student,1-2 years,Python
Thailand,Master’s degree,Machine Learning Engineer,5-10 years,Python
India,Master’s degree,Student,< 1 years,R
India,Bachelor’s degree,Software Engineer,5-10 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Other,,,,
Romania,Doctoral degree,Other,20+ years,Julia
Spain,Doctoral degree,Data Scientist,5-10 years,SQL
India,Bachelor’s degree,Student,1-2 years,Python
India,Master’s degree,Student,3-5 years,MATLAB
Other,Master’s degree,Data Scientist,10-20 years,Python
Republic of Korea,Master’s degree,Research Scientist,,
Nigeria,Professional degree,,,
Portugal,Doctoral degree,Student,5-10 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
Brazil,Bachelor’s degree,Student,< 1 years,Python
Indonesia,Master’s degree,Student,1-2 years,Python
India,Master’s degree,Software Engineer,3-5 years,Python
India,Bachelor’s degree,Student,< 1 years,C
India,Bachelor’s degree,Software Engineer,1-2 years,C
United States of America,Master’s degree,Data Scientist,20+ years,Python
Other,Master’s degree,Machine Learning Engineer,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Nigeria,Bachelor’s degree,Currently not employed,< 1 years,R
United States of America,Doctoral degree,Data Scientist,10-20 years,Python
Sweden,Master’s degree,Machine Learning Engineer,3-5 years,Python
Canada,Master’s degree,Currently not employed,5-10 years,Python
